id,name,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft
128,Resolute Bay Airport,YRB,CYRB,74.7169036865,-94.9693984985,215
132,Rankin Inlet Airport,YRT,CYRT,62.8114013672,-92.1157989502,94
133,Sudbury Airport,YSB,CYSB,46.625,-80.79889678955078,1141
135,Saint John Airport,YSJ,CYSJ,45.31610107421875,-65.89029693603516,357
136,Fort Smith Airport,YSM,CYSM,60.020301818847656,-111.96199798583984,671
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,CYSY,71.9938964844,-125.242996216,282
140,Cape Dorset Airport,YTE,CYTE,64.2300033569,-76.5267028809,164
141,Thompson Airport,YTH,CYTH,55.80110168457031,-97.86419677734376,729
143,Timmins/Victor M. Power,YTS,CYTS,48.5696983337,-81.376701355,967
144,Billy Bishop Toronto City Centre Airport,YTZ,CYTZ,43.627499,-79.396202,252
145,Tuktoyaktuk Airport,YUB,CYUB,69.43329620361328,-133.0260009765625,15
146,Montreal / Pierre Elliott Trudeau International Airport,YUL,CYUL,45.4706001282,-73.7407989502,118
147,Repulse Bay Airport,YUT,CYUT,66.5214004517,-86.22470092770001,80
148,Hall Beach Airport,YUX,CYUX,68.77610015869999,-81.2425,30
149,Rouyn Noranda Airport,YUY,CYUY,48.20610046386719,-78.83560180664062,988
152,Qikiqtarjuaq Airport,YVM,CYVM,67.5457992554,-64.03140258789999,21
153,Val-d'Or Airport,YVO,CYVO,48.0532989502,-77.7827987671,1107
154,Kuujjuaq Airport,YVP,CYVP,58.096099853515625,-68.4269027709961,129
155,Norman Wells Airport,YVQ,CYVQ,65.28160095214844,-126.7979965209961,238
156,Vancouver International Airport,YVR,CYVR,49.193901062,-123.183998108,14
160,Winnipeg / James Armstrong Richardson International Airport,YWG,CYWG,49.9099998474,-97.2398986816,783
161,Wabush Airport,YWK,CYWK,52.92190170288086,-66.8644027709961,1808
162,Williams Lake Airport,YWL,CYWL,52.1831016541,-122.054000854,3085
164,Cranbrook/Canadian Rockies International Airport,YXC,CYXC,49.610801696777,-115.78199768066,3082
166,Saskatoon John G. Diefenbaker International Airport,YXE,CYXE,52.17079925537109,-106.6999969482422,1653
167,Medicine Hat Airport,YXH,CYXH,50.01890182495117,-110.72100067138672,2352
168,Fort St John Airport,YXJ,CYXJ,56.23809814453125,-120.73999786376952,2280
169,Sioux Lookout Airport,YXL,CYXL,50.11389923095703,-91.9052963256836,1258
170,Pangnirtung Airport,YXP,CYXP,66.1449966431,-65.71360015869999,75
172,Prince George Airport,YXS,CYXS,53.8894004822,-122.679000854,2267
173,Northwest Regional Airport Terrace-Kitimat,YXT,CYXT,54.468498,-128.576009,713
174,London Airport,YXU,CYXU,43.035599,-81.1539,912
175,Abbotsford Airport,YXX,CYXX,49.025299072265625,-122.36100006103516,195
176,Whitehorse / Erik Nielsen International Airport,YXY,CYXY,60.7095985413,-135.067001343,2317
177,North Bay Jack Garland Airport,YYB,CYYB,46.363602,-79.422798,1215
178,Calgary International Airport,YYC,CYYC,51.113899231,-114.019996643,3557
179,Smithers Airport,YYD,CYYD,54.82469940185547,-127.18299865722656,1712
180,Fort Nelson Airport,YYE,CYYE,58.8363990784,-122.597000122,1253
181,Penticton Airport,YYF,CYYF,49.46310043334961,-119.60199737548828,1129
182,Charlottetown Airport,YYG,CYYG,46.290000915527344,-63.12110137939453,160
183,Taloyoak Airport,YYH,CYYH,69.5466995239,-93.5766983032,92
184,Victoria International Airport,YYJ,CYYJ,48.646900177,-123.426002502,63
187,Churchill Airport,YYQ,CYYQ,58.739200592041016,-94.06500244140624,94
188,Goose Bay Airport,YYR,CYYR,53.3191986084,-60.4258003235,160
189,St. John's International Airport,YYT,CYYT,47.618598938,-52.7518997192,461
190,Kapuskasing Airport,YYU,CYYU,49.41389846801758,-82.46749877929688,743
192,Mont Joli Airport,YYY,CYYY,48.60860061645508,-68.20809936523438,172
193,Lester B. Pearson International Airport,YYZ,CYYZ,43.6772003174,-79.63059997559999,569
196,Yellowknife Airport,YZF,CYZF,62.462799072265625,-114.44000244140624,675
198,Sandspit Airport,YZP,CYZP,53.25429916379999,-131.813995361,21
199,Chris Hadfield Airport,YZR,CYZR,42.9994010925293,-82.30889892578125,594
200,Port Hardy Airport,YZT,CYZT,50.68059921264648,-127.36699676513672,71
202,Sept-Îles Airport,YZV,CYZV,50.22330093383789,-66.2656021118164,180
206,Fort Mcpherson Airport,ZFM,CZFM,67.40750122070312,-134.86099243164062,116
209,Soummam Airport,BJA,DAAE,36.7120018005,5.0699200630200005,20
210,Houari Boumediene Airport,ALG,DAAG,36.69100189208984,3.215409994125366,82
211,Djanet Inedbirene Airport,DJG,DAAJ,24.292801,9.45244,3176
216,Aguenar – Hadj Bey Akhamok Airport,TMR,DAAT,22.8115005493,5.45107984543,4518
218,Mecheria Airport,MZW,DAAY,33.535900116,-0.242353007197,3855
220,Rabah Bitat Airport,AAE,DABB,36.822201,7.809174,16
221,Mohamed Boudiaf International Airport,CZL,DABC,36.2760009765625,6.620389938354492,2265
222,Cheikh Larbi Tébessi Airport,TEE,DABS,35.4315986633,8.12071990967,2661
224,Hassi R'Mel Airport,HRM,DAFH,32.93040084838867,3.311539888381958,2540
225,Bou Chekif Airport,TID,DAOB,35.3410987854,1.46315002441,3245
228,Ech Cheliff Airport,CFK,DAOI,36.2126998901,1.33176994324,463
230,Zenata – Messali El Hadj Airport,TLM,DAON,35.0167007446,-1.45000004768,814
231,Es Senia Airport,ORN,DAOO,35.6239013672,-0.6211829781529999,295
233,Ghriss Airport,MUW,DAOV,35.207698822021484,0.1471419930458068,1686
234,Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,DAUA,27.83760070800781,-0.1864140033721923,919
235,Biskra Airport,BSK,DAUB,34.7933006287,5.73823022842,289
236,El Golea Airport,ELG,DAUE,30.5713005065918,2.8595900535583496,1306
237,Noumérat - Moufdi Zakaria Airport,GHA,DAUG,32.38410186767578,3.794110059738159,1512
238,Oued Irara Airport,HME,DAUH,31.6730003357,6.140439987180001,463
239,In Salah Airport,INZ,DAUI,27.2509994507,2.51202011108,896
240,Touggourt Sidi Madhi Airport,TGR,DAUK,33.06779861450195,6.088669776916504,279
243,Ain el Beida Airport,OGX,DAUU,31.917200088500977,5.412779808044434,492
244,In Aménas Airport,IAM,DAUZ,28.0515,9.64291,1847
245,Cadjehoun Airport,COO,DBBB,6.357230186462402,2.384350061416626,19
246,Ouagadougou Airport,OUA,DFFD,12.3532,-1.51242,1037
247,Bobo Dioulasso Airport,BOY,DFOO,11.160099983215332,-4.33096981048584,1511
248,Kotoka International Airport,ACC,DGAA,5.605189800262451,-0.1667860001325607,205
249,Tamale Airport,TML,DGLE,9.55718994140625,-0.8632140159606934,553
251,Sunyani Airport,NYI,DGSN,7.361830234527588,-2.3287599086761475,1014
252,Takoradi Airport,TKD,DGTK,4.896059989929199,-1.7747600078582764,21
253,Port Bouet Airport,ABJ,DIAP,5.261390209197998,-3.9262900352478023,21
260,Nnamdi Azikiwe International Airport,ABV,DNAA,9.006790161132812,7.263169765472412,1123
262,Benin Airport,BNI,DNBE,6.316979885101318,5.599500179290772,258
263,Margaret Ekpo International Airport,CBQ,DNCA,4.976019859313965,8.347200393676758,210
264,Akanu Ibiam International Airport,ENU,DNEN,6.474269866943359,7.561960220336914,466
266,Ibadan Airport,IBA,DNIB,7.362460136413574,3.97832989692688,725
267,Ilorin International Airport,ILR,DNIL,8.440210342407227,4.493919849395752,1126
268,Yakubu Gowon Airport,JOS,DNJO,9.639829635620115,8.869050025939941,4232
269,Kaduna Airport,KAD,DNKA,10.696000099182127,7.320109844207764,2073
270,Mallam Aminu International Airport,KAN,DNKN,12.0476,8.52462,1562
273,Murtala Muhammed International Airport,LOS,DNMM,6.5773701667785645,3.321160078048706,135
275,Port Harcourt International Airport,PHC,DNPO,5.0154900550842285,6.94959020614624,87
276,Sadiq Abubakar III International Airport,SKO,DNSO,12.916299819946287,5.207190036773682,1010
277,Yola Airport,YOL,DNYO,9.257550239562988,12.430399894714355,599
280,Diori Hamani International Airport,NIM,DRRN,13.4815,2.18361,732
286,Monastir Habib Bourguiba International Airport,MIR,DTMB,35.75809860229492,10.75469970703125,9
287,Tunis Carthage International Airport,TUN,DTTA,36.85100173950195,10.22719955444336,22
290,Gafsa Ksar International Airport,GAF,DTTF,34.422000885009766,8.822500228881836,1060
291,Gabès Matmata International Airport,GAE,DTTG,33.87689971923828,10.103300094604492,26
293,Djerba Zarzis International Airport,DJE,DTTJ,33.875,10.775500297546388,19
295,Sfax Thyna International Airport,SFA,DTTX,34.71799850463867,10.690999984741213,85
296,Tozeur Nefta International Airport,TOE,DTTZ,33.939701080322266,8.110560417175293,287
298,Lomé-Tokoin Airport,LFW,DXXX,6.165609836578369,1.2545100450515747,72
299,Antwerp International Airport (Deurne),ANR,EBAW,51.1893997192,4.46027994156,39
302,Brussels Airport,BRU,EBBR,50.9014015198,4.48443984985,184
304,Brussels South Charleroi Airport,CRL,EBCI,50.459202,4.45382,614
309,Liège Airport,LGG,EBLG,50.63740158081055,5.443220138549805,659
310,Ostend-Bruges International Airport,OST,EBOS,51.1988983154,2.8622200489,13
337,Berlin-Schönefeld Airport,SXF,EDDB,52.380001,13.5225,157
338,Dresden Airport,DRS,EDDC,51.1328010559082,13.767200469970703,755
339,Erfurt Airport,ERF,EDDE,50.97980117797852,10.958100318908691,1036
340,Frankfurt am Main Airport,FRA,EDDF,50.033333,8.570556,364
341,Münster Osnabrück Airport,FMO,EDDG,52.134601593,7.68483018875,160
342,Hamburg Airport,HAM,EDDH,53.630401611328,9.9882297515869,53
344,Cologne Bonn Airport,CGN,EDDK,50.8658981323,7.1427397728,302
345,Düsseldorf Airport,DUS,EDDL,51.289501,6.76678,147
346,Munich Airport,MUC,EDDM,48.353802,11.7861,1487
347,Nuremberg Airport,NUE,EDDN,49.498699,11.078056,1046
348,Leipzig/Halle Airport,LEJ,EDDP,51.423889,12.236389,465
349,Saarbrücken Airport,SCN,EDDR,49.2145996094,7.10950994492,1058
350,Stuttgart Airport,STR,EDDS,48.6898994446,9.22196006775,1276
351,Berlin-Tegel Airport,TXL,EDDT,52.5597,13.2877,122
352,Hannover Airport,HAJ,EDDV,52.461101532,9.68507957458,183
353,Bremen Airport,BRE,EDDW,53.0475006104,8.78666973114,14
355,Frankfurt-Hahn Airport,HHN,EDFH,49.9487,7.26389,1649
356,Mannheim-City Airport,MHG,EDFM,49.473057,8.514167,308
362,Hamburg-Finkenwerder Airport,XFW,EDHI,53.5352783203125,9.835556030273438,23
364,Lübeck Blankensee Airport,LBC,EDHL,53.8054008484,10.7192001343,53
371,Paderborn Lippstadt Airport,PAD,EDLP,51.6141014099,8.616319656369999,699
373,Dortmund Airport,DTM,EDLW,51.51829910279999,7.61223983765,425
374,Augsburg Airport,AGB,EDMA,48.425278,10.931667,1516
382,Friedrichshafen Airport,FDH,EDNY,47.6712989807,9.51148986816,1367
393,Zweibrücken Airport,ZQW,EDRZ,49.2094,7.40056,1132
400,Kassel-Calden Airport,KSF,EDVK,51.417273,9.384967,820
410,Westerland Sylt Airport,GWT,EDXW,54.9132003784,8.34047031403,51
413,Kuressaare Airport,URE,EEKE,58.22990036010742,22.50950050354004,14
415,Lennart Meri Tallinn Airport,TLL,EETN,59.41329956049999,24.8327999115,131
416,Tartu Airport,TAY,EETU,58.3074989319,26.690399169900004,219
421,Helsinki Vantaa Airport,HEL,EFHK,60.317199707031,24.963300704956,179
428,Ivalo Airport,IVL,EFIV,68.607299804688,27.405300140381,481
429,Joensuu Airport,JOE,EFJO,62.662899017334,29.607500076294,398
430,Jyvaskyla Airport,JYV,EFJY,62.399501800537,25.678300857544,459
432,Kemi-Tornio Airport,KEM,EFKE,65.778701782227,24.582099914551,61
433,Kajaani Airport,KAJ,EFKI,64.285499572754,27.692399978638,483
435,Kokkola-Pietarsaari Airport,KOK,EFKK,63.721199035645,23.143100738525,84
437,Kuusamo Airport,KAO,EFKS,65.987602233887,29.239400863647,866
438,Kittilä Airport,KTT,EFKT,67.700996398926,24.846799850464,644
439,Kuopio Airport,KUO,EFKU,63.007099151611,27.797800064087,323
441,Lappeenranta Airport,LPP,EFLP,61.044601,28.144743,349
442,Mariehamn Airport,MHQ,EFMA,60.122200012207,19.898199081421,17
446,Oulu Airport,OUL,EFOU,64.930099487305,25.354600906372,47
448,Pori Airport,POR,EFPO,61.461700439453,21.799999237061,44
453,Rovaniemi Airport,RVN,EFRO,66.564796447754,25.830400466919,642
455,Savonlinna Airport,SVL,EFSA,61.943099975586,28.945100784302,311
458,Tampere-Pirkkala Airport,TMP,EFTP,61.414100646973,23.604400634766,390
460,Turku Airport,TKU,EFTU,60.514099121094,22.262800216675,161
462,Vaasa Airport,VAA,EFVA,63.050701141357,21.762199401855,19
465,Belfast International Airport,BFS,EGAA,54.6575012207,-6.21582984924,268
467,George Best Belfast City Airport,BHD,EGAC,54.61809921264648,-5.872499942779541,15
468,City of Derry Airport,LDY,EGAE,55.04280090332031,-7.161109924316406,22
469,Birmingham International Airport,BHX,EGBB,52.4538993835,-1.74802994728,327
472,Gloucestershire Airport,GLO,EGBJ,51.89419937133789,-2.167220115661621,101
478,Manchester Airport,MAN,EGCC,53.35369873046875,-2.2749500274658203,257
481,Newquay Cornwall Airport,NQY,EGHQ,50.44060134887695,-4.995409965515137,390
488,Cardiff International Airport,CWL,EGFF,51.39670181274414,-3.343329906463623,220
490,Bristol Airport,BRS,EGGD,51.382702,-2.71909,622
491,Liverpool John Lennon Airport,LPL,EGGP,53.33359909057617,-2.849720001220703,80
492,London Luton Airport,LTN,EGGW,51.874698638916016,-0.3683330118656158,526
494,Bournemouth Airport,BOH,EGHH,50.77999877929688,-1.8424999713897705,38
495,Southampton Airport,SOU,EGHI,50.95029830932617,-1.3567999601364136,44
497,Alderney Airport,ACI,EGJA,49.706104,-2.21472,290
498,Guernsey Airport,GCI,EGJB,49.435001373291016,-2.601969957351685,336
499,Jersey Airport,JER,EGJJ,49.20790100097656,-2.195509910583496,277
502,London Gatwick Airport,LGW,EGKK,51.148102,-0.190278,202
503,London City Airport,LCY,EGLC,51.505299,0.055278,19
507,London Heathrow Airport,LHR,EGLL,51.4706,-0.461941,83
508,Southend Airport,SEN,EGMC,51.5713996887207,0.6955559849739075,49
514,Blackpool International Airport,BLK,EGNH,53.77170181274414,-3.0286099910736084,34
515,Humberside Airport,HUY,EGNJ,53.57440185546875,-0.350832998752594,121
517,Leeds Bradford Airport,LBA,EGNM,53.86589813232422,-1.6605700254440308,681
519,Hawarden Airport,CEG,EGNR,53.1781005859375,-2.977780103683472,45
520,Isle of Man Airport,IOM,EGNS,54.08330154418945,-4.623889923095703,52
521,Newcastle Airport,NCL,EGNT,55.03749847412109,-1.6916699409484863,266
522,Durham Tees Valley Airport,MME,EGNV,54.50920104980469,-1.4294099807739258,120
523,East Midlands Airport,EMA,EGNX,52.8311004639,-1.32806003094,306
529,Kirkwall Airport,KOI,EGPA,58.957801818847656,-2.9049999713897705,50
